Study_ID,Citation,Year,SAR_TYPE,Island.Type,Lat,Long,Study location,Ecoregion,Number of islands/patches in study,Island_or_Mainland,Min_A,Max_A,Range(order of magnitude),Island Area (m2),Distance From Mainland (m),Species Richness,Total species richness on islands ,Total species richness on islands and mianland,Sampling Method,Number of Sampling Methods,Z,Std. Error,R2,Signifcant?,Notes,
1,"Goldstein, 1975",1971,Insular,Continental,41.248987,-72.757859,The Thimble Islands,Nearctic,9,Island,161,43548,2.432142338,3062,111,12,31,34,Hand,1,0.404,,0.63,,,
1,"Goldstein, 1975",1971,Insular,Continental,41.248987,-72.757859,The Thimble Islands,Nearctic,9,Island,161,43548,2.432142338,4194,282,11,31,34,Hand,1,0.404,,0.63,,,
1,"Goldstein, 1975",1971,Insular,Continental,41.248987,-72.757859,The Thimble Islands,Nearctic,9,Island,161,43548,2.432142338,484,563,3,31,34,Hand,1,0.404,,0.63,,,
1,"Goldstein, 1975",1971,Insular,Continental,41.248987,-72.757859,The Thimble Islands,Nearctic,9,Island,161,43548,2.432142338,161,483,1,31,34,Hand,1,0.404,,0.63,,,
1,"Goldstein, 1975",1971,Insular,Continental,41.248987,-72.757859,The Thimble Islands,Nearctic,9,Island,161,43548,2.432142338,968,483,2,31,34,Hand,1,0.404,,0.63,,,
1,"Goldstein, 1975",1971,Insular,Continental,41.248987,-72.757859,The Thimble Islands,Nearctic,9,Island,161,43548,2.432142338,645,201,2,31,34,Hand,1,0.404,,0.63,,,
1,"Goldstein, 1975",1971,Insular,Continental,41.248987,-72.757859,The Thimble Islands,Nearctic,9,Island,161,43548,2.432142338,1612,925,1,31,34,Hand,1,0.404,,0.63,,,
1,"Goldstein, 1975",1971,Insular,Continental,41.248987,-72.757859,The Thimble Islands,Nearctic,9,Island,161,43548,2.432142338,484,966,2,31,34,Hand,1,0.404,,0.63,,,
1,"Goldstein, 1975",1971,Insular,Continental,41.248987,-72.757859,The Thimble Islands,Nearctic,9,Island,161,43548,2.432142338,43548,1569,21,31,34,Hand,1,0.404,,0.63,,,
1,"Goldstein, 1975",1972,Insular,Continental,41.248987,-72.757859,The Thimble Islands,Nearctic,9,Mainland,161,43548,2.432142338,61532,0,31,31,34,Hand,1,0.404,,0.63,,,
2,"Bandano et al, 2005",1999,Mainland,Habitat-patches,-25.313081,-65.445719,Argentina,Neotropic,9,Island,1686,625163,2.569135696,23786,250,7,23,,Vaccum,1,0.19,0.056,0.63,Y,,
2,"Bandano et al, 2005",1999,Mainland,Habitat-patches,-25.313081,-65.445719,Argentina,Neotropic,9,Island,1686,625163,2.569135696,42090,198,16,23,,Vaccum,1,0.19,0.056,0.63,Y,,
2,"Bandano et al, 2005",1999,Mainland,Habitat-patches,-25.313081,-65.445719,Argentina,Neotropic,9,Island,1686,625163,2.569135696,15363,143,7,23,,Vaccum,1,0.19,0.056,0.63,Y,,
2,"Bandano et al, 2005",1999,Mainland,Habitat-patches,-25.313081,-65.445719,Argentina,Neotropic,9,Island,1686,625163,2.569135696,625163,10,18,23,,Vaccum,1,0.19,0.056,0.63,Y,,
2,"Bandano et al, 2005",1999,Mainland,Habitat-patches,-25.313081,-65.445719,Argentina,Neotropic,9,Island,1686,625163,2.569135696,5498,167,5,23,,Vaccum,1,0.19,0.056,0.63,Y,,
2,"Bandano et al, 2005",1999,Mainland,Habitat-patches,-25.313081,-65.445719,Argentina,Neotropic,9,Island,1686,625163,2.569135696,52439,251,8,23,,Vaccum,1,0.19,0.056,0.63,Y,,
2,"Bandano et al, 2005",1999,Mainland,Habitat-patches,-25.313081,-65.445719,Argentina,Neotropic,9,Island,1686,625163,2.569135696,2486,732,6,23,,Vaccum,1,0.19,0.056,0.63,Y,,
2,"Bandano et al, 2005",1999,Mainland,Habitat-patches,-25.313081,-65.445719,Argentina,Neotropic,9,Island,1686,625163,2.569135696,2487,120,7,23,,Vaccum,1,0.19,0.056,0.63,Y,,
2,"Bandano et al, 2005",1999,Mainland,Habitat-patches,-25.313081,-65.445719,Argentina,Neotropic,9,Island,1686,625163,2.569135696,1686,198,6,23,,Vaccum,1,0.19,0.056,0.63,Y,,
3,"Clark et al, 2011",2005-2009,Insular,Continental,42.3602,-71.0524,Boston Harbor Islands,Nearctic,9,Island,10000,1200000,2.079181246,1200000,640,27,48,51,"Pitfall, Malaise,UV, hand sampling",5,0.04,0.056,0.06,Y,,
3,"Clark et al, 2011",2005-2010,Insular,Continental,42.3602,-71.0524,Boston Harbor Islands,Nearctic,9,Island,10000,1200000,2.079181246,70000,3290,22,48,51,"Pitfall, Malaise,UV, hand sampling",5,0.04,0.056,0.06,Y,,
3,"Clark et al, 2011",2005-2011,Insular,Continental,42.3602,-71.0524,Boston Harbor Islands,Nearctic,9,Island,10000,1200000,2.079181246,220000,370,37,48,51,"Pitfall, Malaise,UV, hand sampling",5,0.04,0.056,0.06,Y,,
3,"Clark et al, 2011",2005-2012,Insular,Continental,42.3602,-71.0524,Boston Harbor Islands,Nearctic,9,Island,10000,1200000,2.079181246,80000,2360,22,48,51,"Pitfall, Malaise,UV, hand sampling",5,0.04,0.056,0.06,Y,,
3,"Clark et al, 2011",2005-2013,Insular,Continental,42.3602,-71.0524,Boston Harbor Islands,Nearctic,9,Island,10000,1200000,2.079181246,20000,520,32,48,51,"Pitfall, Malaise,UV, hand sampling",5,0.04,0.056,0.06,Y,,
3,"Clark et al, 2011",2005-2014,Insular,Continental,42.3602,-71.0524,Boston Harbor Islands,Nearctic,9,Island,10000,1200000,2.079181246,10000,320,27,48,51,"Pitfall, Malaise,UV, hand sampling",5,0.04,0.056,0.06,Y,,
3,"Clark et al, 2011",2005-2015,Insular,Continental,42.3602,-71.0524,Boston Harbor Islands,Nearctic,9,Island,10000,1200000,2.079181246,30000,350,22,48,51,"Pitfall, Malaise,UV, hand sampling",5,0.04,0.056,0.06,Y,,
3,"Clark et al, 2011",2005-2016,Insular,Continental,42.3602,-71.0524,Boston Harbor Islands,Nearctic,9,Island,10000,1200000,2.079181246,350000,1920,22,48,51,"Pitfall, Malaise,UV, hand sampling",5,0.04,0.056,0.06,Y,,
3,"Clark et al, 2011",2005-2017,Insular,Continental,42.3602,-71.0524,Boston Harbor Islands,Nearctic,9,Island,10000,1200000,2.079181246,540000,510,40,48,51,"Pitfall, Malaise,UV, hand sampling",5,0.04,0.056,0.06,Y,,
3,"Clark et al, 2011",2005-2018,Insular,Continental,42.3602,-71.0524,Boston Harbor Islands,Nearctic,9,Mainland,10000,1200000,2.079181246,1080000,0,40,48,51,"Pitfall, Malaise,UV, hand sampling",5,0.04,0.056,0.06,Y,,
4,Boomsma et al. 1987,1981-1984,Insular,Continental,53.433934,5.507761,Frisian Islands,Palearctic,18,Island,240000,162000000,2.829303773,162000000,63000,17,25,,"Hand, soil core, sieving",3,0.407,,0.896,,,
4,Boomsma et al. 1987,1981-1984,Insular,Continental,53.433934,5.507761,Frisian Islands,Palearctic,18,Island,240000,162000000,2.829303773,33000000,66000,13,25,,"Hand, soil core, sieving",3,0.407,,0.896,,,
4,Boomsma et al. 1987,1981-1984,Insular,Continental,53.433934,5.507761,Frisian Islands,Palearctic,18,Island,240000,162000000,2.829303773,240000,57000,1,25,,"Hand, soil core, sieving",3,0.407,,0.896,,,
4,Boomsma et al. 1987,1981-1984,Insular,Continental,53.433934,5.507761,Frisian Islands,Palearctic,18,Island,240000,162000000,2.829303773,96000000,54000,19,25,,"Hand, soil core, sieving",3,0.407,,0.896,,,
4,Boomsma et al. 1987,1981-1984,Insular,Continental,53.433934,5.507761,Frisian Islands,Palearctic,18,Island,240000,162000000,2.829303773,56000000,44000,14,25,,"Hand, soil core, sieving",3,0.407,,0.896,,,
4,Boomsma et al. 1987,1981-1984,Insular,Continental,53.433934,5.507761,Frisian Islands,Palearctic,18,Island,240000,162000000,2.829303773,26000000,41000,18,25,,"Hand, soil core, sieving",3,0.407,,0.896,,,
4,Boomsma et al. 1987,1981-1984,Insular,Continental,53.433934,5.507761,Frisian Islands,Palearctic,18,Island,240000,162000000,2.829303773,6000000,44000,5,25,,"Hand, soil core, sieving",3,0.407,,0.896,,,
4,Boomsma et al. 1987,1981-1984,Insular,Continental,53.433934,5.507761,Frisian Islands,Palearctic,18,Island,240000,162000000,2.829303773,4000000,45000,3,25,,"Hand, soil core, sieving",3,0.407,,0.896,,,
4,Boomsma et al. 1987,1981-1984,Insular,Continental,53.433934,5.507761,Frisian Islands,Palearctic,18,Island,240000,162000000,2.829303773,36500000,30000,12,25,,"Hand, soil core, sieving",3,0.407,,0.896,,,
4,Boomsma et al. 1987,1981-1984,Insular,Continental,53.433934,5.507761,Frisian Islands,Palearctic,18,Island,240000,162000000,2.829303773,1000000,24000,1,25,,"Hand, soil core, sieving",3,0.407,,0.896,,,
4,Boomsma et al. 1987,1981-1984,Insular,Continental,53.433934,5.507761,Frisian Islands,Palearctic,18,Island,240000,162000000,2.829303773,10000000,23500,4,25,,"Hand, soil core, sieving",3,0.407,,0.896,,,
4,Boomsma et al. 1987,1981-1984,Insular,Continental,53.433934,5.507761,Frisian Islands,Palearctic,18,Island,240000,162000000,2.829303773,16000000,18500,11,25,,"Hand, soil core, sieving",3,0.407,,0.896,,,
4,Boomsma et al. 1987,1981-1984,Insular,Continental,53.433934,5.507761,Frisian Islands,Palearctic,18,Island,240000,162000000,2.829303773,24000000,10000,14,25,,"Hand, soil core, sieving",3,0.407,,0.896,,,
4,Boomsma et al. 1987,1981-1984,Insular,Continental,53.433934,5.507761,Frisian Islands,Palearctic,18,Island,240000,162000000,2.829303773,8000000,12000,13,25,,"Hand, soil core, sieving",3,0.407,,0.896,,,
4,Boomsma et al. 1987,1981-1984,Insular,Continental,53.433934,5.507761,Frisian Islands,Palearctic,18,Island,240000,162000000,2.829303773,19000000,11000,14,25,,"Hand, soil core, sieving",3,0.407,,0.896,,,
4,Boomsma et al. 1987,1981-1984,Insular,Continental,53.433934,5.507761,Frisian Islands,Palearctic,18,Island,240000,162000000,2.829303773,15000000,14000,12,25,,"Hand, soil core, sieving",3,0.407,,0.896,,,
4,Boomsma et al. 1987,1981-1984,Insular,Continental,53.433934,5.507761,Frisian Islands,Palearctic,18,Island,240000,162000000,2.829303773,8000000,21000,10,25,,"Hand, soil core, sieving",3,0.407,,0.896,,,
4,Boomsma et al. 1987,1981-1984,Insular,Continental,53.433934,5.507761,Frisian Islands,Palearctic,18,Island,240000,162000000,2.829303773,8000000,16500,0,25,,"Hand, soil core, sieving",3,0.407,,0.896,,,
5,Rizali et al. 2010,2005,Insular,Continental,-6.040862,106.584072,Kepulauan Seribu,Indomalaya,18,Island,10000,528700,1.72320931,82300,2200,14,48,,Hand,1,0.13,0.05,0.22,Y,,
5,Rizali et al. 2010,2005,Insular,Continental,-6.040862,106.584072,Kepulauan Seribu,Indomalaya,18,Island,10000,528700,1.72320931,458000,4200,34,48,,Hand,1,0.13,0.05,0.22,Y,,
5,Rizali et al. 2010,2005,Insular,Continental,-6.040862,106.584072,Kepulauan Seribu,Indomalaya,18,Island,10000,528700,1.72320931,391200,4800,29,48,,Hand,1,0.13,0.05,0.22,Y,,
5,Rizali et al. 2010,2005,Insular,Continental,-6.040862,106.584072,Kepulauan Seribu,Indomalaya,18,Island,10000,528700,1.72320931,164300,7000,33,48,,Hand,1,0.13,0.05,0.22,Y,,
5,Rizali et al. 2010,2005,Insular,Continental,-6.040862,106.584072,Kepulauan Seribu,Indomalaya,18,Island,10000,528700,1.72320931,264300,9400,28,48,,Hand,1,0.13,0.05,0.22,Y,,
5,Rizali et al. 2010,2005,Insular,Continental,-6.040862,106.584072,Kepulauan Seribu,Indomalaya,18,Island,10000,528700,1.72320931,528700,16100,35,48,,Hand,1,0.13,0.05,0.22,Y,,
5,Rizali et al. 2010,2005,Insular,Continental,-6.040862,106.584072,Kepulauan Seribu,Indomalaya,18,Island,10000,528700,1.72320931,227400,20800,25,48,,Hand,1,0.13,0.05,0.22,Y,,
5,Rizali et al. 2010,2005,Insular,Continental,-6.040862,106.584072,Kepulauan Seribu,Indomalaya,18,Island,10000,528700,1.72320931,197100,22800,27,48,,Hand,1,0.13,0.05,0.22,Y,,
5,Rizali et al. 2010,2005,Insular,Continental,-6.040862,106.584072,Kepulauan Seribu,Indomalaya,18,Island,10000,528700,1.72320931,199200,28600,31,48,,Hand,1,0.13,0.05,0.22,Y,,
5,Rizali et al. 2010,2005,Insular,Continental,-6.040862,106.584072,Kepulauan Seribu,Indomalaya,18,Island,10000,528700,1.72320931,10000,31200,18,48,,Hand,1,0.13,0.05,0.22,Y,,
5,Rizali et al. 2010,2005,Insular,Continental,-6.040862,106.584072,Kepulauan Seribu,Indomalaya,18,Island,10000,528700,1.72320931,226500,34200,29,48,,Hand,1,0.13,0.05,0.22,Y,,
5,Rizali et al. 2010,2005,Insular,Continental,-6.040862,106.584072,Kepulauan Seribu,Indomalaya,18,Island,10000,528700,1.72320931,58000,35100,27,48,,Hand,1,0.13,0.05,0.22,Y,,
5,Rizali et al. 2010,2005,Insular,Continental,-6.040862,106.584072,Kepulauan Seribu,Indomalaya,18,Island,10000,528700,1.72320931,86200,43200,28,48,,Hand,1,0.13,0.05,0.22,Y,,
5,Rizali et al. 2010,2005,Insular,Continental,-6.040862,106.584072,Kepulauan Seribu,Indomalaya,18,Island,10000,528700,1.72320931,96300,45900,28,48,,Hand,1,0.13,0.05,0.22,Y,,
5,Rizali et al. 2010,2005,Insular,Continental,-6.040862,106.584072,Kepulauan Seribu,Indomalaya,18,Island,10000,528700,1.72320931,57600,52600,26,48,,Hand,1,0.13,0.05,0.22,Y,,
5,Rizali et al. 2010,2005,Insular,Continental,-6.040862,106.584072,Kepulauan Seribu,Indomalaya,18,Island,10000,528700,1.72320931,89600,54900,28,48,,Hand,1,0.13,0.05,0.22,Y,,
5,Rizali et al. 2010,2005,Insular,Continental,-6.040862,106.584072,Kepulauan Seribu,Indomalaya,18,Island,10000,528700,1.72320931,216500,59600,21,48,,Hand,1,0.13,0.05,0.22,Y,,
5,Rizali et al. 2010,2005,Insular,Continental,-6.040862,106.584072,Kepulauan Seribu,Indomalaya,18,Island,10000,528700,1.72320931,214200,62600,19,48,,Hand,1,0.13,0.05,0.22,Y,,
6,Dean & Bond 1990,1988,Mainland,Habitat-patches,-30.6008,25.4945,hendrik verwoerd dam,Afrotropic,6,Island,10000,450000,1.653212514,28000,200,1,13,,Bait,1,0.13,0.05,0.22,Y,,
6,Dean & Bond 1990,1988,Mainland,Habitat-patches,-30.6008,25.4945,hendrik verwoerd dam,Afrotropic,6,Island,10000,450000,1.653212514,155000,2600,4,13,,Bait,1,0.13,0.05,0.22,Y,,
6,Dean & Bond 1990,1988,Mainland,Habitat-patches,-30.6008,25.4945,hendrik verwoerd dam,Afrotropic,6,Island,10000,450000,1.653212514,39000,900,2,13,,Bait,1,0.13,0.05,0.22,Y,,
6,Dean & Bond 1990,1988,Mainland,Habitat-patches,-30.6008,25.4945,hendrik verwoerd dam,Afrotropic,6,Island,10000,450000,1.653212514,450000,2000,14,13,,Bait,1,0.13,0.05,0.22,Y,,
6,Dean & Bond 1990,1988,Mainland,Habitat-patches,-30.6008,25.4945,hendrik verwoerd dam,Afrotropic,6,Island,10000,450000,1.653212514,10000,800,2,13,,Bait,1,0.13,0.05,0.22,Y,,
6,Dean & Bond 1990,1988,Mainland,Habitat-patches,-30.6008,25.4945,hendrik verwoerd dam,Afrotropic,6,Island,10000,450000,1.653212514,10000,50,8,13,,Bait,1,0.13,0.05,0.22,Y,,
7a,"Wilson, 1961",,Insular,Continental,-8.245769,147.034452,New Guinea,Australasia,5,,,,,,,,,,,,0.088,,,,,
7b,"Wilson, 1961",,Insular,Oceanic,-9.590903,160.283241,Melanesian Islands,Australasia,26,,,,4,,,,,,,,0.298,,,,,
8,Cuisi et al. 2015,2003,Mainland,Habitat-patches,-20.983333,-55.183333,"Corumba, County, Brazil",Neotropic,8,Island,1200,6075,0.704365036,4800,230,38,71,83,"Pitfalls epigaeic, hypogaeic",1,0.67,,0.66,,,
8,Cuisi et al. 2015,2003,Mainland,Habitat-patches,-20.983333,-55.183333,"Corumba, County, Brazil",Neotropic,8,Island,1200,6075,0.704365036,3675,110,37,71,83,"Pitfalls epigaeic, hypogaeic",1,0.67,,0.66,,,
8,Cuisi et al. 2015,2003,Mainland,Habitat-patches,-20.983333,-55.183333,"Corumba, County, Brazil",Neotropic,8,Island,1200,6075,0.704365036,1200,100,11,71,83,"Pitfalls epigaeic, hypogaeic",1,0.67,,0.66,,,
8,Cuisi et al. 2015,2003,Mainland,Habitat-patches,-20.983333,-55.183333,"Corumba, County, Brazil",Neotropic,8,Island,1200,6075,0.704365036,1200,110,19,71,83,"Pitfalls epigaeic, hypogaeic",1,0.67,,0.66,,,
8,Cuisi et al. 2015,2003,Mainland,Habitat-patches,-20.983333,-55.183333,"Corumba, County, Brazil",Neotropic,8,Island,1200,6075,0.704365036,6075,380,63,71,83,"Pitfalls epigaeic, hypogaeic",1,0.67,,0.66,,,
8,Cuisi et al. 2015,2003,Mainland,Habitat-patches,-20.983333,-55.183333,"Corumba, County, Brazil",Neotropic,8,Island,1200,6075,0.704365036,1800,80,23,71,83,"Pitfalls epigaeic, hypogaeic",1,0.67,,0.66,,,
8,Cuisi et al. 2015,2003,Mainland,Habitat-patches,-20.983333,-55.183333,"Corumba, County, Brazil",Neotropic,8,Island,1200,6075,0.704365036,3675,80,20,71,83,"Pitfalls epigaeic, hypogaeic",1,0.67,,0.66,,,
8,Cuisi et al. 2015,2003,Mainland,Habitat-patches,-20.983333,-55.183333,"Corumba, County, Brazil",Neotropic,8,Island,1200,6075,0.704365036,1200,350,20,71,83,"Pitfalls epigaeic, hypogaeic",1,0.67,,0.66,,,
9,Muhlenberg et al. 1977,1975,Insular,Oceanic,-4.654378,55.445698,Central Seychelles Islands,Afrotropic,3,Island,7700,850000,2.042928201,7700,,11,,,Pitfalls ,1,0.09,,0.82,,,
9,Muhlenberg et al. 1977,1975,Insular,Oceanic,-4.654378,55.445698,Central Seychelles Islands,Afrotropic,3,Island,7700,850000,2.042928201,350000,,17,,,Pitfalls ,1,0.09,,0.82,,,
9,Muhlenberg et al. 1977,1975,Insular,Oceanic,-4.654378,55.445698,Central Seychelles Islands,Afrotropic,3,Island,7700,850000,2.042928201,850000,,16,,,Pitfalls ,1,0.09,,0.82,,,
10,"Schoerder et al, 2004",1995,Mainland,Habitat-patches,-20.75,-42.833333,"Vicosam, Brazil",Neotropic,17,Island,3.21,93.37,1.463702326,3.21,,20,,,Baited pitfalls,1,0.525,0.03481,93,Y,calculated some,
10,"Schoerder et al, 2004",1995,Mainland,Habitat-patches,-20.75,-42.833333,"Vicosam, Brazil",Neotropic,17,Island,3.21,93.37,1.463702326,3.74,,13,,,Baited pitfalls,1,0.525,,,,,
10,"Schoerder et al, 2004",1995,Mainland,Habitat-patches,-20.75,-42.833333,"Vicosam, Brazil",Neotropic,17,Island,3.21,93.37,1.463702326,4.05,,13,,,Baited pitfalls,1,0.525,,,,,
10,"Schoerder et al, 2004",1995,Mainland,Habitat-patches,-20.75,-42.833333,"Vicosam, Brazil",Neotropic,17,Island,3.21,93.37,1.463702326,4.21,,14,,,Baited pitfalls,1,0.525,,,,,
10,"Schoerder et al, 2004",1995,Mainland,Habitat-patches,-20.75,-42.833333,"Vicosam, Brazil",Neotropic,17,Island,3.21,93.37,1.463702326,4.99,,16,,,Baited pitfalls,1,0.525,,,,,
10,"Schoerder et al, 2004",1995,Mainland,Habitat-patches,-20.75,-42.833333,"Vicosam, Brazil",Neotropic,17,Island,3.21,93.37,1.463702326,5.27,,16,,,Baited pitfalls,1,0.525,,,,,
10,"Schoerder et al, 2004",1995,Mainland,Habitat-patches,-20.75,-42.833333,"Vicosam, Brazil",Neotropic,17,Island,3.21,93.37,1.463702326,5.56,,17,,,Baited pitfalls,1,0.525,,,,,
10,"Schoerder et al, 2004",1995,Mainland,Habitat-patches,-20.75,-42.833333,"Vicosam, Brazil",Neotropic,17,Island,3.21,93.37,1.463702326,5.77,,16,,,Baited pitfalls,1,0.525,,,,,
10,"Schoerder et al, 2004",1995,Mainland,Habitat-patches,-20.75,-42.833333,"Vicosam, Brazil",Neotropic,17,Island,3.21,93.37,1.463702326,6.91,,14,,,Baited pitfalls,1,0.525,,,,,
10,"Schoerder et al, 2004",1995,Mainland,Habitat-patches,-20.75,-42.833333,"Vicosam, Brazil",Neotropic,17,Island,3.21,93.37,1.463702326,7.97,,20,,,Baited pitfalls,1,0.525,,,,,
10,"Schoerder et al, 2004",1995,Mainland,Habitat-patches,-20.75,-42.833333,"Vicosam, Brazil",Neotropic,17,Island,3.21,93.37,1.463702326,8,,20,,,Baited pitfalls,1,0.525,,,,,
10,"Schoerder et al, 2004",1995,Mainland,Habitat-patches,-20.75,-42.833333,"Vicosam, Brazil",Neotropic,17,Island,3.21,93.37,1.463702326,8.56,,23,,,Baited pitfalls,1,0.525,,,,,
10,"Schoerder et al, 2004",1995,Mainland,Habitat-patches,-20.75,-42.833333,"Vicosam, Brazil",Neotropic,17,Island,3.21,93.37,1.463702326,30.13,,38,,,Baited pitfalls,1,0.525,,,,,
10,"Schoerder et al, 2004",1995,Mainland,Habitat-patches,-20.75,-42.833333,"Vicosam, Brazil",Neotropic,17,Island,3.21,93.37,1.463702326,39.21,,47,,,Baited pitfalls,1,0.525,,,,,
10,"Schoerder et al, 2004",1995,Mainland,Habitat-patches,-20.75,-42.833333,"Vicosam, Brazil",Neotropic,17,Island,3.21,93.37,1.463702326,46.16,,58,,,Baited pitfalls,1,0.525,,,,,
